landscapeid,description
15,new deployment sap live access a educational cloud a sec a possible
5,multiple system patching weekend
9,bagios of ld4638.wdf.sap.corp/host down problem host alert
5,productive storage NFS unavailable
12,est outage america
13,many systems 1002909
2,artifactory
9,perforce domain a node ld4638 rebooted
14,emma VPN access
15,sap education cloud sap educational partner loadbalancer corrupted
12,of systems americas a lot systems PSR
8,Jenkins service a DNS issue
10,private sr 1003692 pontoon 2018 demo tm a em citril login work anymore
8,Jenkins service a load balancer replacement coordinated
17,TDC training landscape a target/productive a
2,artifactory a internal a a push a pull not working
12,america 1003280-cla hosts a demo affected
14,was cla-18q4-emea inaccessible
16,multiple landscapes affected os bug
11,netapp storage able perform snapshot
12,est host usphlesx114 due temperature warning
1,ags support infra premium systems a Ve a a run development system FDX
16,TDC live access a target/productive a
8,Jenkins service
8,Jenkins service a network outage
8,Jenkins service a etc database space exceeded
12,a est host crashed sac na affecting showroom 1003280-cla_showroom-2018v1-b00
13,hardware error est host sinesx078.sin.sap.corp
11,TDC demo showrooms cta/cda CSA multiple Sid is affected a ATF documenting a
8,deployment node jaws
5,pi Hana platform dm iq landscape
5,base a fs cepqa_archive2 down
8,jaws load balancer connection lost
14,six systems went vc60 emma prod due cis security patching a
5,esq a NFS shares non-accessible node usiadnp00017m
14,vmvc60 host 2692 lost connection vc server causing approximately of sac VMS restart
4,git a hanagit instance Gerrit landscape considered
2,multiple landscapes/sid is affected
11,TDC demo showroom a CDA a
8,Jenkins service a test slack channel invite
2,multiple landscapes/sid is affected
1,ags support infra premium systems a Ve a
2,artifactory a internal a
5,gods a
11,TDC demo showroom a CDA a
6,Hana build a updated description
4,git
6,Hana build
2,artifactory a internal a
6,Hana build
5,gods a
3,dita
1,ags support infra premium systems a Ve a
2,artifactory a internal a
10,TDC a
10,TDC ac
